Year;Age;Female;Male;Total
1958;0;23419.03;31383.18;54802.21
1958;1;1666.71;1852.49;3519.2
1958;2;613;753.42;1366.42
1958;3;418.68;537.01;955.69
1958;4;295.48;386.73;682.21
1958;5;243.4;337.64;581.04
1958;6;203.33;299.57;502.9
1958;7;180.3;273.51;453.81
1958;8;138.23;230.43;368.66
1958;9;116.19;213.41;329.6
1958;10;120.19;197.37;317.56
1958;11;99.16;174.33;273.49
1958;12;113.18;135.25;248.43
1958;13;88.14;132.25;220.39
1958;14;86.14;163.31;249.45
1958;15;107.18;163.31;270.49
1958;16;120.2;197.37;317.57
1958;17;119.2;247.46;366.66
1958;18;166.27;324.61;490.88
1958;19;181.29;393.74;575.03
1958;20;197.32;470.89;668.21
1958;21;214.35;469.89;684.24
1958;22;208.33;453.86;662.19
1958;23;237.39;419.79;657.18
1958;24;258.41;479.9;738.31
1958;25;275.45;489.92;765.37
1958;26;277.45;503.95;781.4
1958;27;308.5;510.97;819.47
1958;28;323.52;526.99;850.51
1958;29;321.52;572.08;893.6
1958;30;362.59;550.04;912.63
1958;31;309.5;537.01;846.51
1958;32;355.58;525.99;881.57
1958;33;350.57;567.07;917.64
1958;34;422.69;560.06;982.75
1958;35;418.68;534.01;952.69
1958;36;388.64;491.93;880.57
1958;37;362.59;482.91;845.5
1958;38;390.64;537.01;927.65
1958;39;296.48;405.77;702.25
1958;40;304.49;376.71;681.2
1958;41;303.5;382.72;686.22
1958;42;363.59;482.91;846.5
1958;43;519.85;628.19;1148.04
1958;44;567.92;752.42;1320.34
1958;45;585.95;785.49;1371.44
1958;46;672.1;943.78;1615.88
1958;47;721.17;1010.91;1732.08
1958;48;809.32;1142.16;1951.48
1958;49;875.42;1291.44;2166.86
1958;50;842.37;1279.41;2121.78
1958;51;945.54;1434.7;2380.24
1958;52;943.53;1489.81;2433.34
1958;53;1070.74;1568.96;2639.7
1958;54;1119.82;1678.17;2797.99
1958;55;1184.92;1691.19;2876.11
1958;56;1275.07;1903.59;3178.66
1958;57;1351.2;1898.58;3249.78
1958;58;1465.38;2047.86;3513.24
1958;59;1463.37;1967.72;3431.09
1958;60;1631.65;2157.07;3788.72
1958;61;1609.62;2160.08;3769.7
1958;62;1809.94;2203.15;4013.09
1958;63;1729.81;2110.98;3840.79
1958;64;1906.1;2147.04;4053.14
1958;65;1774.88;1995.77;3770.65
1958;66;1957.18;1954.69;3911.87
1958;67;2054.34;2174.1;4228.44
1958;68;2249.66;2208.17;4457.83
1958;69;2431.95;2265.27;4697.22
1958;70;2482.03;2236.22;4718.25
